"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-01-28",,,"0.08","1.5","6.0","35","27","29",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-01-29",,,"0.01","0.1","5.0","32","8","10",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-01-30",,,"0.00","0.0","4.0","23","2","6",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-01-31",,,"0.00","0.0","4.0","20","-7","1",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-01",,,"0.00","0.0","4.0","28","-3","9",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-03","    2","1.05",,"4.3","8.0",,,"33",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-04",,,"0.00","0.0","7.0","38","30","33",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-05",,,"0.00","0.0","7.0","38","14","19",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-08","    3","0.31",,"2.9","9.0",,,"17",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-09",,,"0.00","0.0","9.0","27","2","10",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-10",,,"0.10","1.4","10.0","22","-4","2",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-11",,,"0.00","0.0","10.0","29","-1","4",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-12",,,"0.00","0.0","9.0","26","3","7",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-13",,,"0.00","0.0","9.0","26","4","11",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-14",,,"0.00","0.0","9.0",,,,,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-15",,,"0.00","0.0","9.0",,,"17",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-17","    2","0.77",,"1.4","10.0",,,"17",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-18",,,"0.00","0.0","10.0","29","12","18",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-19",,,"0.00","0.0","10.0","29","18","24",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-20",,,"0.00","0.0","10.0","32","23","27",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-21",,,"0.00","0.0","10.0","35","14","22",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-22",,,"0.00","0.0","10.0","39","9","17",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-23",,,"0.42","3.4","13.0","34","17","34",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-02-24",,,"0.00","0.0","12.0","43","31","41",,,,,,
