DATE1,DAY_OF_WEEK,SITE_NAME,TOWN,WATERBODY,INSPECTOR_ID,PAY_VOL,SHIFT_START,TRAILERS,SHIFT_END,SHIFT_LENGTH,TOTALINSP,PRCP,TMAX,TMIN,DATE,month,year,SHIFT_START_CATEGORY,SHIFT_END_CATEGORY,ID_COUNT,holiday
2021-05-30,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5305,Paid,1900-01-01 07:00:00,2.0,2023-12-05 13:00:00,360,3.0,0.0,59.0,43.0,2021-05-30,5,2021,Early Morning,Afternoon,58,1
2021-05-30,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5005,Paid,1900-01-01 13:00:00,0.0,2023-12-05 18:00:00,300,3.0,0.0,59.0,43.0,2021-05-30,5,2021,Afternoon,Evening,8,1
2021-05-30,Sun,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,1900-01-01 07:00:00,1.0,2023-12-05 15:00:00,480,4.0,0.0,59.0,43.0,2021-05-30,5,2021,Early Morning,Late Afternoon,131,1
2021-05-30,Sun,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,1900-01-01 07:00:00,0.0,2023-12-05 15:00:00,480,4.0,0.0,59.0,43.0,2021-05-30,5,2021,Early Morning,Late Afternoon,113,1
2021-05-30,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5006,Paid,1900-01-01 07:00:00,1.0,2023-12-05 13:00:00,360,5.0,0.0,59.0,43.0,2021-05-30,5,2021,Early Morning,Afternoon,111,1
2021-06-04,Fri,Thorofare Rd,Litchfield,Pleasant Pond,3504,Paid,1900-01-01 12:00:00,4.0,2023-12-05 18:00:00,360,17.0,0.08,77.0,63.0,2021-06-04,6,2021,Afternoon,Evening,109,0
2021-06-04,Fri,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,4485,Paid,1900-01-01 12:00:00,2.0,2023-12-05 18:00:00,360,5.0,0.08,77.0,63.0,2021-06-04,6,2021,Afternoon,Evening,16,0
2021-06-04,Fri,Holmes Road Annabessacook,Winthrop,Annabessacook Lake,4769,Paid,1900-01-01 12:00:00,1.0,2023-12-05 18:00:00,360,1.0,0.08,77.0,63.0,2021-06-04,6,2021,Afternoon,Evening,56,0
2021-06-04,Fri,Launch Drive Cobbosseecontee,Monmouth,Cobbosseecontee Lake,3796,Paid,1900-01-01 12:00:00,6.0,2023-12-05 18:00:00,360,25.0,0.08,77.0,63.0,2021-06-04,6,2021,Afternoon,Evening,113,0
2021-06-04,Fri,Whippoorwill Road,Litchfield,Woodbury Pond,4174,Paid,1900-01-01 12:00:00,7.0,2023-12-05 18:00:00,360,16.0,0.08,77.0,63.0,2021-06-04,6,2021,Afternoon,Evening,131,0
2021-06-05,Sat,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,5322,Paid,1900-01-01 07:00:00,1.0,2023-12-05 13:00:00,360,11.0,0.0,81.0,59.0,2021-06-05,6,2021,Early Morning,Afternoon,8,0
2021-06-05,Sat,Old Kents Hill Road,Readfield,Torsey Lake,5222,Paid,1900-01-01 07:00:00,2.0,2023-12-05 13:00:00,360,5.0,0.0,81.0,59.0,2021-06-05,6,2021,Early Morning,Afternoon,16,0
2021-06-05,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,4743,Paid,1900-01-01 07:00:00,3.0,2023-12-05 17:00:00,600,34.0,0.0,81.0,59.0,2021-06-05,6,2021,Early Morning,Late Afternoon,7,0
