DATE1,DAY_OF_WEEK,SITE_NAME,TOWN,WATERBODY,INSPECTOR_ID,PAY_VOL,SHIFT_START,TRAILERS,SHIFT_END,SHIFT_LENGTH,TOTALINSP,PRCP,TMAX,TMIN,TOBS
2021-06-05,Sat,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,8:00,0.0,18:00,600,9.0,0.0,81.0,59.0,72.0
2021-06-05,Sat,Old Kents Hill Road,Readfield,Torsey Lake,3504,Paid,13:00,3.0,19:00,360,26.0,0.0,81.0,59.0,72.0
2021-06-05,Sat,Launch Drive,Monmouth,Cobbosseecontee Lake,4485,Paid,7:00,11.0,17:00,600,105.0,0.0,81.0,59.0,72.0
2021-06-05,Sat,East Winthrop,Winthrop,Cobbosseecontee Lake,4715,Paid,14:00,7.0,19:00,300,19.0,0.0,81.0,59.0,72.0
2021-06-05,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,5304,Paid,7:00,3.0,17:00,600,34.0,0.0,81.0,59.0,72.0
2021-06-05,Sat,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,7:00,4.0,17:00,600,62.0,0.0,81.0,59.0,72.0
2021-06-05,Sat,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,12:00,7.0,19:00,420,47.0,0.0,81.0,59.0,72.0
2021-06-06,Sun,East Winthrop,Winthrop,Cobbosseecontee Lake,5322,Paid,7:00,1.0,13:00,360,20.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,5105,Paid,7:00,0.0,13:00,360,63.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,7:00,9.0,15:00,480,74.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,7:00,2.0,17:00,600,23.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5222,Paid,13:00,3.0,19:00,360,3.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,East Winthrop,Winthrop,Cobbosseecontee Lake,4715,Paid,13:00,10.0,19:00,360,23.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Launch Drive,Monmouth,Cobbosseecontee Lake,4771,Paid,13:00,49.0,19:00,360,78.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,4743,Paid,13:00,20.0,19:00,360,40.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,8:00,1.0,18:00,600,8.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,5304,Paid,13:00,27.0,19:00,360,9.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5006,Paid,7:00,1.0,13:00,360,9.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Launch Drive,Monmouth,Cobbosseecontee Lake,4485,Paid,7:00,9.0,14:00,420,65.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,7:00,2.0,17:00,600,51.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5305,Paid,7:00,1.0,13:00,360,45.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,13:00,7.0,19:00,360,49.0,0.0,89.0,66.0,78.0
2021-06-06,Sun,Beach Road,Monmouth,Cochnewagon Pond,5306,Paid,7:30,2.0,13:00,330,18.0,0.0,89.0,66.0,78.0
2021-06-11,Fri,Thorofare Rd,Litchfield,Pleasant Pond,5105,Paid,12:00,4.0,18:00,360,16.0,0.0,74.0,53.0,60.0
2021-06-11,Fri,East Winthrop,Winthrop,Cobbosseecontee Lake,4485,Paid,12:00,1.0,18:00,360,0.0,0.0,74.0,53.0,60.0
2021-06-11,Fri,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,12:00,,18:00,360,3.0,0.0,74.0,53.0,60.0
2021-06-11,Fri,Whippoorwill Road,Litchfield,Woodbury Pond,4174,Paid,12:00,0.0,18:00,360,6.0,0.0,74.0,53.0,60.0
2021-06-11,Fri,Launch Drive,Monmouth,Cobbosseecontee Lake,3796,Paid,12:00,11.0,18:00,360,17.0,0.0,74.0,53.0,60.0
2021-06-12,Sat,East Winthrop,Winthrop,Cobbosseecontee Lake,5322,Paid,7:00,1.0,13:00,360,11.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,4743,Paid,7:00,2.0,13:00,360,14.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,7:00,0.0,13:00,360,13.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Launch Drive,Monmouth,Cobbosseecontee Lake,5105,Paid,7:00,5.0,17:00,600,72.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Wilson Pond Road,Monmouth,Wilson Pond,3504,Paid,13:00,3.0,19:00,360,15.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,8:00,,18:00,600,16.0,0.0,64.0,49.0,62.0
