SITE_NAME,DATE1,DAY_OF_WEEK,INSPECTOR_ID,PAY_VOL,SHIFT_START,SHIFT_END,TOTALINSP,NUMINVASIVE,TOWN,WATERBODY,SHIFT_LENGTH,DATE,month,year
Whippoorwill Road,08/29/2021,Sun,5304,1,13:00,19:00,10.0,0.0,Litchfield,Woodbury Pond,360.0,2021-08-29,8,2021
Beach Road,08/29/2021,Sun,5306,1,07:00,13:00,6.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-08-29,8,2021
Rt 41 North Basin Maranacook,08/29/2021,Sun,5001,1,13:00,19:00,16.0,0.0,Readfield,Maranacook Lake,360.0,2021-08-29,8,2021
Old Kents Hill Road,09/03/2021,Fri,1292,0,17:00,19:00,0.0,0.0,Readfield,Torsey Lake,120.0,2021-09-03,9,2021
East Winthrop,09/03/2021,Fri,3504,1,12:00,18:00,5.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-09-03,9,2021
Augusta West Kampground,09/03/2021,Fri,4769,1,12:00,18:00,1.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-09-03,9,2021
Whippoorwill Road,09/03/2021,Fri,4174,1,12:00,18:00,15.0,0.0,Litchfield,Woodbury Pond,360.0,2021-09-03,9,2021
Launch Drive,09/03/2021,Fri,3796,1,12:00,18:00,10.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-09-03,9,2021
Thorofare Rd,09/03/2021,Fri,4771,1,12:00,18:00,5.0,0.0,Litchfield,Pleasant Pond,360.0,2021-09-03,9,2021
Rt 41 North Basin Maranacook,09/04/2021,Sat,5305,1,07:00,17:00,29.0,0.0,Readfield,Maranacook Lake,600.0,2021-09-04,9,2021
Augusta West Kampground,09/04/2021,Sat,4769,1,08:00,18:00,6.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-09-04,9,2021
East Winthrop,09/04/2021,Sat,5386,1,07:00,13:00,13.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-09-04,9,2021
Whippoorwill Road,09/04/2021,Sat,5304,1,07:00,17:00,30.0,0.0,Litchfield,Woodbury Pond,600.0,2021-09-04,9,2021
Norcross Point South Basin Maranacook,09/04/2021,Sat,4771,1,07:00,17:00,23.0,0.0,Winthrop,Maranacook Lake,600.0,2021-09-04,9,2021
Launch Drive,09/04/2021,Sat,3796,1,07:00,17:00,56.0,0.0,Launch Drive,Cobbosseecontee Lake,600.0,2021-09-04,9,2021
Old Kents Hill Road,09/04/2021,Sat,5353,1,13:00,19:00,7.0,0.0,Readfield,Torsey Lake,360.0,2021-09-04,9,2021
Wilson Pond Road,09/04/2021,Sat,4770,1,07:00,17:00,12.0,0.0,Monmouth,Wilson Pond,600.0,2021-09-04,9,2021
Old Kents Hill Road,09/04/2021,Sat,5006,1,07:00,13:00,4.0,0.0,Readfield,Torsey Lake,360.0,2021-09-04,9,2021
Beach Road,09/04/2021,Sat,4174,1,07:00,17:00,19.0,0.0,Monmouth,Cochnewagon Pond,600.0,2021-09-04,9,2021
Thorofare Rd,09/04/2021,Sat,4944,1,07:00,17:00,34.0,0.0,Litchfield,Pleasant Pond,600.0,2021-09-04,9,2021
Rt 41 North Basin Maranacook,09/05/2021,Sun,5305,1,07:00,17:00,19.0,0.0,Readfield,Maranacook Lake,600.0,2021-09-05,9,2021
Old Kents Hill Road,09/05/2021,Sun,5006,1,07:00,13:00,12.0,0.0,Readfield,Torsey Lake,360.0,2021-09-05,9,2021
Beach Road,09/05/2021,Sun,5306,1,07:00,13:00,4.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-09-05,9,2021
Old Kents Hill Road,09/05/2021,Sun,5353,1,13:00,19:00,8.0,0.0,Readfield,Torsey Lake,360.0,2021-09-05,9,2021
Beach Road,09/05/2021,Sun,4174,1,13:00,19:00,6.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-09-05,9,2021
Whippoorwill Road,09/05/2021,Sun,5304,1,07:00,17:00,30.0,0.0,Litchfield,Woodbury Pond,600.0,2021-09-05,9,2021
Wilson Pond Road,09/05/2021,Sun,4770,1,07:00,17:00,5.0,0.0,Monmouth,Wilson Pond,600.0,2021-09-05,9,2021
Norcross Point South Basin Maranacook,09/05/2021,Sun,4771,1,07:00,17:00,13.0,0.0,Winthrop,Maranacook Lake,600.0,2021-09-05,9,2021
Augusta West Kampground,09/05/2021,Sun,4769,1,08:00,18:00,2.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-09-05,9,2021
Launch Drive,09/05/2021,Sun,3796,1,07:00,17:00,44.0,0.0,Launch Drive,Cobbosseecontee Lake,600.0,2021-09-05,9,2021
Thorofare Rd,09/05/2021,Sun,4944,1,07:00,17:00,19.0,0.0,Litchfield,Pleasant Pond,600.0,2021-09-05,9,2021
East Winthrop,09/05/2021,Sun,5386,1,07:00,13:00,5.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-09-05,9,2021
East Winthrop,09/05/2021,Sun,3504,1,13:00,19:00,10.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-09-05,9,2021
Beach Road,09/06/2021,Mon,5306,1,07:00,13:00,12.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-09-06,9,2021
Norcross Point South Basin Maranacook,09/06/2021,Mon,4771,1,11:30,17:00,17.0,0.0,Winthrop,Maranacook Lake,330.0,2021-09-06,9,2021
Wilson Pond Road,09/06/2021,Mon,4770,1,07:00,17:00,26.0,0.0,Monmouth,Wilson Pond,600.0,2021-09-06,9,2021
Beach Road,09/06/2021,Mon,4174,1,13:00,16:15,16.0,0.0,Monmouth,Cochnewagon Pond,195.0,2021-09-06,9,2021
Old Kents Hill Road,09/06/2021,Mon,5353,1,07:00,17:00,8.0,0.0,Readfield,Torsey Lake,600.0,2021-09-06,9,2021
Rt 41 North Basin Maranacook,09/06/2021,Mon,5305,1,07:00,17:00,28.0,0.0,Readfield,Maranacook Lake,600.0,2021-09-06,9,2021
Launch Drive,09/06/2021,Mon,3796,1,07:00,16:30,63.0,0.0,Launch Drive,Cobbosseecontee Lake,570.0,2021-09-06,9,2021
Augusta West Kampground,09/06/2021,Mon,4769,1,08:00,17:00,4.0,0.0,Winthrop,Annabessacook Lake,540.0,2021-09-06,9,2021
Whippoorwill Road,09/06/2021,Mon,5304,1,07:00,13:00,20.0,0.0,Litchfield,Woodbury Pond,360.0,2021-09-06,9,2021
East Winthrop,09/06/2021,Mon,3504,1,07:00,16:30,18.0,0.0,Winthrop,Cobbosseecontee Lake,570.0,2021-09-06,9,2021
Thorofare Rd,09/11/2021,Sat,3504,1,07:00,17:00,25.0,0.0,Litchfield,Pleasant Pond,600.0,2021-09-11,9,2021
Old Kents Hill Road,09/11/2021,Sat,1292,0,17:00,19:00,4.0,0.0,Readfield,Torsey Lake,120.0,2021-09-11,9,2021
Old Kents Hill Road,09/11/2021,Sat,2092,0,06:45,09:00,1.0,0.0,Readfield,Torsey Lake,135.0,2021-09-11,9,2021
Launch Drive,09/11/2021,Sat,4771,1,07:00,17:00,54.0,0.0,Launch Drive,Cobbosseecontee Lake,600.0,2021-09-11,9,2021
Augusta West Kampground,09/11/2021,Sat,4769,1,08:00,18:00,5.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-09-11,9,2021
Thorofare Rd,09/12/2021,Sun,3504,1,07:00,17:00,37.0,0.0,Litchfield,Pleasant Pond,600.0,2021-09-12,9,2021
Launch Drive,09/12/2021,Sun,4771,1,07:00,17:00,49.0,0.0,Launch Drive,Cobbosseecontee Lake,600.0,2021-09-12,9,2021
Old Kents Hill Road,09/12/2021,Sun,1292,0,13:00,15:00,0.0,0.0,Readfield,Torsey Lake,120.0,2021-09-12,9,2021
Augusta West Kampground,09/12/2021,Sun,4769,1,08:00,18:00,2.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-09-12,9,2021
Old Kents Hill Road,09/12/2021,Sun,5411,0,15:00,17:00,2.0,0.0,Readfield,Torsey Lake,120.0,2021-09-12,9,2021
Old Kents Hill Road,09/18/2021,Sat,1292,0,11:00,13:00,3.0,0.0,Readfield,Torsey Lake,120.0,2021-09-18,9,2021
Old Kents Hill Road,09/18/2021,Sat,4624,0,09:00,11:00,1.0,0.0,Readfield,Torsey Lake,120.0,2021-09-18,9,2021
Augusta West Kampground,09/18/2021,Sat,4769,1,08:00,18:00,11.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-09-18,9,2021
Launch Drive,09/18/2021,Sat,4174,1,08:00,17:15,47.0,0.0,Launch Drive,Cobbosseecontee Lake,555.0,2021-09-18,9,2021
Thorofare Rd,09/19/2021,Sun,4771,1,07:00,17:00,45.0,0.0,Litchfield,Pleasant Pond,600.0,2021-09-19,9,2021
Augusta West Kampground,09/19/2021,Sun,4769,1,08:00,18:00,4.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-09-19,9,2021
Launch Drive,09/19/2021,Sun,4174,1,08:00,18:00,63.0,0.0,Launch Drive,Cobbosseecontee Lake,600.0,2021-09-19,9,2021
Launch Drive Cobbosseecontee,05/27/2022,Fri,2169,1,12:00,19:00,35.0,0.0,Monmouth,Cobbosseecontee Lake,420.0,2022-05-27,5,2022
Thorofare Rd,05/27/2022,Fri,3504,1,11:30,18:30,9.0,0.0,Litchfield,Pleasant Pond,420.0,2022-05-27,5,2022
Augusta West Kampground,05/27/2022,Fri,5585,1,08:00,18:00,8.0,0.0,Winthrop,Annabessacook Lake,600.0,2022-05-27,5,2022
Whippoorwill Road,05/27/2022,Fri,4174,1,12:00,19:00,19.0,0.0,Litchfield,Woodbury Pond,420.0,2022-05-27,5,2022
East Winthrop Cobbosseecontee,05/27/2022,Fri,5005,1,12:00,19:00,4.0,0.0,Winthrop,Cobbosseecontee Lake,420.0,2022-05-27,5,2022
Thorofare Rd,05/28/2022,Sat,4944,1,07:00,17:00,13.0,0.0,Litchfield,Pleasant Pond,600.0,2022-05-28,5,2022
Norcross Point South Basin Maranacook,05/28/2022,Sat,5006,1,08:45,17:00,7.0,0.0,Winthrop,Maranacook Lake,495.0,2022-05-28,5,2022
Augusta West Kampground,05/28/2022,Sat,4174,1,10:00,16:30,6.0,0.0,Winthrop,Annabessacook Lake,390.0,2022-05-28,5,2022
East Winthrop Cobbosseecontee,05/28/2022,Sat,5585,1,13:00,16:10,0.0,0.0,Winthrop,Cobbosseecontee Lake,190.0,2022-05-28,5,2022
Whippoorwill Road,05/28/2022,Sat,3504,1,07:00,16:00,19.0,0.0,Litchfield,Woodbury Pond,540.0,2022-05-28,5,2022
Old Kents Hill Road,05/28/2022,Sat,5353,1,09:00,13:00,1.0,0.0,Readfield,Torsey Lake,240.0,2022-05-28,5,2022
Launch Drive Cobbosseecontee,05/28/2022,Sat,5585,1,09:00,13:00,9.0,0.0,Monmouth,Cobbosseecontee Lake,240.0,2022-05-28,5,2022
Old Kents Hill Road,05/28/2022,Sat,5573,1,13:00,19:00,3.0,0.0,Readfield,Torsey Lake,360.0,2022-05-28,5,2022
Rt 41 North Basin Maranacook,05/28/2022,Sat,5577,1,10:00,14:00,8.0,0.0,Readfield,Maranacook Lake,240.0,2022-05-28,5,2022
Wilson Pond Road,05/28/2022,Sat,3796,1,13:00,17:30,1.0,0.0,Monmouth,Wilson Pond,270.0,2022-05-28,5,2022
Launch Drive Cobbosseecontee,05/28/2022,Sat,2169,1,13:00,19:00,5.0,0.0,Monmouth,Cobbosseecontee Lake,360.0,2022-05-28,5,2022
Launch Drive Cobbosseecontee,05/29/2022,Sun,2169,1,07:00,17:00,91.0,0.0,Monmouth,Cobbosseecontee Lake,600.0,2022-05-29,5,2022
Old Kents Hill Road,05/29/2022,Sun,5573,1,12:30,19:00,17.0,0.0,Readfield,Torsey Lake,390.0,2022-05-29,5,2022
Thorofare Rd,05/29/2022,Sun,4944,1,07:00,17:00,74.0,0.0,Litchfield,Pleasant Pond,600.0,2022-05-29,5,2022
Augusta West Kampground,05/29/2022,Sun,3796,1,08:00,18:00,25.0,0.0,Winthrop,Annabessacook Lake,600.0,2022-05-29,5,2022
Whippoorwill Road,05/29/2022,Sun,3504,1,12:52,19:00,60.0,0.0,Litchfield,Woodbury Pond,368.0,2022-05-29,5,2022
Beach Road,05/29/2022,Sun,5306,1,07:00,13:00,28.0,0.0,Monmouth,Cochnewagon Pond,360.0,2022-05-29,5,2022
Rt 41 North Basin Maranacook,05/29/2022,Sun,5006,1,07:00,13:00,29.0,0.0,Readfield,Maranacook Lake,360.0,2022-05-29,5,2022
Augusta West Kampground,05/30/2022,Mon,4174,1,08:00,18:00,17.0,0.0,Winthrop,Annabessacook Lake,600.0,2022-05-30,5,2022
Wilson Pond Road,05/30/2022,Mon,5585,1,08:00,17:00,5.0,0.0,Monmouth,Wilson Pond,540.0,2022-05-30,5,2022
Whippoorwill Road,05/30/2022,Mon,3504,1,06:47,17:00,70.0,0.0,Litchfield,Woodbury Pond,613.0,2022-05-30,5,2022
East Winthrop Cobbosseecontee,05/30/2022,Mon,3796,1,07:00,13:00,19.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2022-05-30,5,2022
Launch Drive Cobbosseecontee,05/30/2022,Mon,2169,1,07:00,17:00,68.0,0.0,Monmouth,Cobbosseecontee Lake,600.0,2022-05-30,5,2022
Rt 41 North Basin Maranacook,05/30/2022,Mon,5353,1,07:00,13:00,17.0,0.0,Readfield,Maranacook Lake,360.0,2022-05-30,5,2022
Norcross Point South Basin Maranacook,05/30/2022,Mon,5005,1,13:00,20:00,33.0,0.0,Winthrop,Maranacook Lake,420.0,2022-05-30,5,2022
Rt 41 North Basin Maranacook,05/30/2022,Mon,5588,1,13:00,19:00,31.0,0.0,Readfield,Maranacook Lake,360.0,2022-05-30,5,2022
East Winthrop Cobbosseecontee,05/30/2022,Mon,5573,1,13:00,19:00,19.0,2.0,Winthrop,Cobbosseecontee Lake,360.0,2022-05-30,5,2022
Thorofare Rd,05/30/2022,Mon,4944,1,07:00,17:00,56.0,0.0,Litchfield,Pleasant Pond,600.0,2022-05-30,5,2022
Launch Drive Cobbosseecontee,06/02/2022,Thu,2169,1,09:00,19:00,18.0,0.0,Monmouth,Cobbosseecontee Lake,600.0,2022-06-02,6,2022
East Winthrop Cobbosseecontee,06/03/2022,Fri,5005,1,07:00,12:00,0.0,0.0,Winthrop,Cobbosseecontee Lake,300.0,2022-06-03,6,2022
Augusta West Kampground,06/03/2022,Fri,4174,1,12:00,18:00,4.0,0.0,Winthrop,Annabessacook Lake,360.0,2022-06-03,6,2022
Launch Drive Cobbosseecontee,06/03/2022,Fri,2169,1,09:00,19:00,8.0,0.0,Monmouth,Cobbosseecontee Lake,600.0,2022-06-03,6,2022
Norcross Point South Basin Maranacook,06/04/2022,Sat,5580,1,07:00,17:00,11.0,0.0,Winthrop,Maranacook Lake,600.0,2022-06-04,6,2022
Old Kents Hill Road,06/04/2022,Sat,5145,0,09:00,11:00,0.0,0.0,Readfield,Torsey Lake,120.0,2022-06-04,6,2022
Whippoorwill Road,06/04/2022,Sat,3504,1,07:00,17:00,19.0,0.0,Litchfield,Woodbury Pond,600.0,2022-06-04,6,2022
Rt 41 North Basin Maranacook,06/04/2022,Sat,5573,1,13:00,19:00,5.0,0.0,Readfield,Maranacook Lake,360.0,2022-06-04,6,2022
Beach Road,06/04/2022,Sat,5306,1,07:00,13:00,14.0,0.0,Monmouth,Cochnewagon Pond,360.0,2022-06-04,6,2022
Old Kents Hill Road,06/04/2022,Sat,1290,0,07:00,09:00,1.0,0.0,Readfield,Torsey Lake,120.0,2022-06-04,6,2022
Old Kents Hill Road,06/04/2022,Sat,2092,0,15:00,17:00,2.0,0.0,Readfield,Torsey Lake,120.0,2022-06-04,6,2022
Old Kents Hill Road,06/04/2022,Sat,2096,0,11:00,15:00,7.0,0.0,Readfield,Torsey Lake,240.0,2022-06-04,6,2022
Thorofare Rd,06/04/2022,Sat,4944,1,13:00,19:00,18.0,0.0,Litchfield,Pleasant Pond,360.0,2022-06-04,6,2022
Old Kents Hill Road,06/04/2022,Sat,1290,0,17:00,19:00,2.0,0.0,Readfield,Torsey Lake,120.0,2022-06-04,6,2022
Thorofare Rd,06/04/2022,Sat,2169,1,07:00,13:00,10.0,0.0,Litchfield,Pleasant Pond,360.0,2022-06-04,6,2022
Rt 41 North Basin Maranacook,06/04/2022,Sat,5588,1,07:00,13:00,4.0,0.0,Readfield,Maranacook Lake,360.0,2022-06-04,6,2022
Thorofare Rd,06/05/2022,Sun,4944,1,07:00,13:00,21.0,0.0,Litchfield,Pleasant Pond,360.0,2022-06-05,6,2022
Rt 41 North Basin Maranacook,06/05/2022,Sun,5573,1,13:00,19:00,25.0,0.0,Readfield,Maranacook Lake,360.0,2022-06-05,6,2022
Norcross Point South Basin Maranacook,06/05/2022,Sun,5580,1,07:00,17:00,25.0,0.0,Winthrop,Maranacook Lake,600.0,2022-06-05,6,2022
Old Kents Hill Road,06/05/2022,Sun,5353,1,07:00,13:00,8.0,0.0,Readfield,Torsey Lake,360.0,2022-06-05,6,2022
Thorofare Rd,06/05/2022,Sun,2169,1,13:00,19:00,33.0,0.0,Litchfield,Pleasant Pond,360.0,2022-06-05,6,2022
Rt 41 North Basin Maranacook,06/05/2022,Sun,5006,1,07:00,13:00,22.0,0.0,Readfield,Maranacook Lake,360.0,2022-06-05,6,2022
Augusta West Kampground,06/05/2022,Sun,4174,1,08:00,18:00,10.0,0.0,Winthrop,Annabessacook Lake,600.0,2022-06-05,6,2022
Old Kents Hill Road,06/05/2022,Sun,5588,1,13:00,19:00,9.0,0.0,Readfield,Torsey Lake,360.0,2022-06-05,6,2022
Whippoorwill Road,06/05/2022,Sun,3504,1,07:00,17:00,57.0,0.0,Litchfield,Woodbury Pond,600.0,2022-06-05,6,2022
Beach Road,06/05/2022,Sun,5306,1,07:00,13:00,15.0,0.0,Monmouth,Cochnewagon Pond,360.0,2022-06-05,6,2022
Launch Drive Cobbosseecontee,06/05/2022,Sun,5585,1,07:00,17:00,29.0,0.0,Monmouth,Cobbosseecontee Lake,600.0,2022-06-05,6,2022
Launch Drive Cobbosseecontee,06/06/2022,Mon,2169,1,09:00,19:00,8.0,0.0,Monmouth,Cobbosseecontee Lake,600.0,2022-06-06,6,2022
East Winthrop Cobbosseecontee,06/07/2022,Tue,5585,1,09:00,18:00,2.0,0.0,Winthrop,Cobbosseecontee Lake,540.0,2022-06-07,6,2022
Launch Drive Cobbosseecontee,06/07/2022,Tue,3504,1,08:45,18:45,27.0,0.0,Monmouth,Cobbosseecontee Lake,600.0,2022-06-07,6,2022
Launch Drive Cobbosseecontee,06/08/2022,Wed,3504,1,11:44,17:45,3.0,0.0,Monmouth,Cobbosseecontee Lake,361.0,2022-06-08,6,2022
Launch Drive Cobbosseecontee,06/09/2022,Thu,2169,1,09:20,19:00,8.0,0.0,Monmouth,Cobbosseecontee Lake,580.0,2022-06-09,6,2022
East Winthrop Cobbosseecontee,06/10/2022,Fri,5006,1,12:00,19:00,10.0,1.0,Winthrop,Cobbosseecontee Lake,420.0,2022-06-10,6,2022
Whippoorwill Road,06/10/2022,Fri,3504,1,11:50,17:50,14.0,0.0,Litchfield,Woodbury Pond,360.0,2022-06-10,6,2022
Launch Drive Cobbosseecontee,06/10/2022,Fri,2169,1,09:00,19:00,46.0,0.0,Monmouth,Cobbosseecontee Lake,600.0,2022-06-10,6,2022
Augusta West Kampground,06/10/2022,Fri,4174,1,12:00,18:00,2.0,0.0,Winthrop,Annabessacook Lake,360.0,2022-06-10,6,2022
Whippoorwill Road,06/11/2022,Sat,3504,1,06:45,16:45,42.0,0.0,Litchfield,Woodbury Pond,600.0,2022-06-11,6,2022
Thorofare Rd,06/11/2022,Sat,4944,1,07:00,13:00,17.0,0.0,Litchfield,Pleasant Pond,360.0,2022-06-11,6,2022
Thorofare Rd,06/11/2022,Tue,2169,1,13:00,19:00,24.0,0.0,Litchfield,Pleasant Pond,360.0,2022-06-11,6,2022
Rt 41 North Basin Maranacook,06/11/2022,Sat,5573,1,07:00,13:00,19.0,0.0,Readfield,Maranacook Lake,360.0,2022-06-11,6,2022
Beach Road,06/11/2022,Sat,5306,1,07:00,13:00,9.0,0.0,Monmouth,Cochnewagon Pond,360.0,2022-06-11,6,2022
Old Kents Hill Road,06/11/2022,Sat,5353,1,07:00,13:00,12.0,0.0,Readfield,Torsey Lake,360.0,2022-06-11,6,2022
East Winthrop Cobbosseecontee,06/11/2022,Sat,5619,1,07:00,13:05,7.0,0.0,Winthrop,Cobbosseecontee Lake,365.0,2022-06-11,6,2022
Norcross Point South Basin Maranacook,06/11/2022,Sat,5006,1,07:00,19:00,28.0,0.0,Winthrop,Maranacook Lake,720.0,2022-06-11,6,2022
Launch Drive Cobbosseecontee,06/11/2022,Sat,5618,1,07:00,13:00,24.0,0.0,Monmouth,Cobbosseecontee Lake,360.0,2022-06-11,6,2022
Launch Drive Cobbosseecontee,06/11/2022,Sat,5005,1,13:00,19:00,32.0,0.0,Monmouth,Cobbosseecontee Lake,360.0,2022-06-11,6,2022
Augusta West Kampground,06/11/2022,Sat,4174,1,08:00,18:00,15.0,0.0,Winthrop,Annabessacook Lake,600.0,2022-06-11,6,2022
Wilson Pond Road,06/11/2022,Sat,3796,1,13:00,19:00,10.0,0.0,Monmouth,Wilson Pond,360.0,2022-06-11,6,2022
Old Kents Hill Road,06/11/2022,Sat,1292,0,17:00,19:00,2.0,0.0,Readfield,Torsey Lake,120.0,2022-06-11,6,2022
Rt 41 North Basin Maranacook,06/11/2022,Sat,5588,1,13:00,19:00,17.0,0.0,Readfield,Maranacook Lake,360.0,2022-06-11,6,2022
Old Kents Hill Road,06/11/2022,Sat,2096,0,15:00,17:00,4.0,0.0,Readfield,Torsey Lake,120.0,2022-06-11,6,2022
Wilson Pond Road,06/11/2022,Sat,5305,1,07:00,13:00,12.0,0.0,Monmouth,Wilson Pond,360.0,2022-06-11,6,2022
Old Kents Hill Road,06/11/2022,Sat,1394,0,13:00,15:00,5.0,0.0,Readfield,Torsey Lake,120.0,2022-06-11,6,2022
Wilson Pond Road,06/12/2022,Sun,5305,1,07:00,17:00,24.0,0.0,Monmouth,Wilson Pond,600.0,2022-06-12,6,2022
Rt 41 North Basin Maranacook,06/12/2022,Sun,5580,1,13:00,19:00,32.0,2.0,Readfield,Maranacook Lake,360.0,2022-06-12,6,2022
Old Kents Hill Road,06/12/2022,Sun,5573,1,13:00,19:00,7.0,0.0,Readfield,Torsey Lake,360.0,2022-06-12,6,2022
Old Kents Hill Road,06/12/2022,Sun,5588,1,07:00,13:00,5.0,0.0,Readfield,Torsey Lake,360.0,2022-06-12,6,2022
Launch Drive Cobbosseecontee,06/12/2022,Sun,5618,1,07:00,13:00,23.0,0.0,Monmouth,Cobbosseecontee Lake,360.0,2022-06-12,6,2022
Norcross Point South Basin Maranacook,06/12/2022,Sun,5006,1,07:00,19:00,34.0,0.0,Winthrop,Maranacook Lake,720.0,2022-06-12,6,2022
Whippoorwill Road,06/12/2022,Sun,3504,1,11:45,17:45,43.0,0.0,Litchfield,Woodbury Pond,360.0,2022-06-12,6,2022
Augusta West Kampground,06/12/2022,Sun,4174,1,08:00,18:00,10.0,0.0,Winthrop,Annabessacook Lake,600.0,2022-06-12,6,2022
Launch Drive Cobbosseecontee,06/12/2022,Sun,5005,1,13:00,19:00,54.0,0.0,Monmouth,Cobbosseecontee Lake,360.0,2022-06-12,6,2022
East Winthrop Cobbosseecontee,06/12/2022,Sun,5582,1,07:00,17:00,42.0,0.0,Winthrop,Cobbosseecontee Lake,600.0,2022-06-12,6,2022
Rt 41 North Basin Maranacook,06/12/2022,Sun,5353,1,07:00,13:00,22.0,0.0,Readfield,Maranacook Lake,360.0,2022-06-12,6,2022
Thorofare Rd,06/12/2022,Sun,4944,1,07:00,13:00,29.0,0.0,Litchfield,Pleasant Pond,360.0,2022-06-12,6,2022
Thorofare Rd,06/12/2022,Tue,2169,1,13:00,19:00,24.0,0.0,Litchfield,Pleasant Pond,360.0,2022-06-12,6,2022
Beach Road,06/13/2022,Mon,5580,1,07:00,13:00,3.0,0.0,Monmouth,Cochnewagon Pond,360.0,2022-06-13,6,2022
Beach Road,06/13/2022,Mon,5006,1,13:00,19:00,7.0,0.0,Monmouth,Cochnewagon Pond,360.0,2022-06-13,6,2022
Launch Drive Cobbosseecontee,06/14/2022,Tue,5305,1,07:00,13:00,13.0,0.0,Monmouth,Cobbosseecontee Lake,360.0,2022-06-14,6,2022
Launch Drive Cobbosseecontee,06/14/2022,Tue,5580,1,13:00,19:00,16.0,0.0,Monmouth,Cobbosseecontee Lake,360.0,2022-06-14,6,2022
East Winthrop Cobbosseecontee,06/14/2022,Tue,5618,1,09:00,19:00,2.0,0.0,Winthrop,Cobbosseecontee Lake,600.0,2022-06-14,6,2022
Launch Drive Cobbosseecontee,06/15/2022,Wed,3504,1,06:45,12:45,19.0,0.0,Monmouth,Cobbosseecontee Lake,360.0,2022-06-15,6,2022
Launch Drive Cobbosseecontee,06/15/2022,Wed,5618,1,13:00,19:00,4.0,0.0,Monmouth,Cobbosseecontee Lake,360.0,2022-06-15,6,2022
East Winthrop Cobbosseecontee,06/15/2022,Wed,5580,1,10:00,20:00,11.0,0.0,Winthrop,Cobbosseecontee Lake,600.0,2022-06-15,6,2022
East Winthrop Cobbosseecontee,06/16/2022,Thu,5586,1,13:00,19:00,1.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2022-06-16,6,2022
Launch Drive Cobbosseecontee,06/16/2022,Tue,2169,1,09:00,19:00,10.0,0.0,Monmouth,Cobbosseecontee Lake,600.0,2022-06-16,6,2022
East Winthrop Cobbosseecontee,06/16/2022,Thu,5579,1,06:58,12:51,3.0,1.0,Winthrop,Cobbosseecontee Lake,353.0,2022-06-16,6,2022
East Winthrop Cobbosseecontee,06/17/2022,Fri,5586,1,09:00,19:00,12.0,0.0,Winthrop,Cobbosseecontee Lake,600.0,2022-06-17,6,2022
Augusta West Kampground,06/17/2022,Fri,4174,1,12:00,18:00,5.0,0.0,Winthrop,Annabessacook Lake,360.0,2022-06-17,6,2022
Thorofare Rd,06/17/2022,Fri,5579,1,11:54,18:05,19.0,0.0,Litchfield,Pleasant Pond,371.0,2022-06-17,6,2022
Launch Drive Cobbosseecontee,06/17/2022,Tue,2169,1,09:00,19:00,20.0,0.0,Monmouth,Cobbosseecontee Lake,600.0,2022-06-17,6,2022
Whippoorwill Road,06/17/2022,Fri,3504,1,11:30,17:30,6.0,0.0,Litchfield,Woodbury Pond,360.0,2022-06-17,6,2022
Launch Drive Cobbosseecontee,06/18/2022,Sat,3796,1,13:00,19:00,10.0,0.0,Monmouth,Cobbosseecontee Lake,360.0,2022-06-18,6,2022
Thorofare Rd,06/18/2022,Tue,2169,1,09:00,19:00,21.0,0.0,Litchfield,Pleasant Pond,600.0,2022-06-18,6,2022
Old Kents Hill Road,06/18/2022,Sat,5588,1,13:00,19:00,1.0,0.0,Readfield,Torsey Lake,360.0,2022-06-18,6,2022
Old Kents Hill Road,06/18/2022,Sat,5622,1,07:00,13:00,0.0,0.0,Readfield,Torsey Lake,360.0,2022-06-18,6,2022
Beach Road,06/18/2022,Sat,5577,1,13:00,19:00,4.0,0.0,Monmouth,Cochnewagon Pond,360.0,2022-06-18,6,2022
East Winthrop Cobbosseecontee,06/18/2022,Sat,5581,1,09:30,15:00,3.0,0.0,Winthrop,Cobbosseecontee Lake,330.0,2022-06-18,6,2022
Norcross Point South Basin Maranacook,06/18/2022,Sat,5006,1,07:00,17:00,11.0,0.0,Winthrop,Maranacook Lake,600.0,2022-06-18,6,2022
Whippoorwill Road,06/18/2022,Sat,5586,1,07:00,17:00,23.0,0.0,Litchfield,Woodbury Pond,600.0,2022-06-18,6,2022
