SITE_NAME,DATE1,DAY_OF_WEEK,INSPECTOR_ID,PAY_VOL,SHIFT_START,SHIFT_END,TOTALINSP,NUMINVASIVE,TOWN,WATERBODY,SHIFT_LENGTH,DATE,month,year
East Winthrop,06/05/2021,Sat,5322,1,07:00,13:00,11.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-05,6,2021
Launch Drive,06/05/2021,Sat,4485,1,07:00,17:00,105.0,0.0,Launch Drive,Cobbosseecontee Lake,600.0,2021-06-05,6,2021
East Winthrop,06/05/2021,Sat,4715,1,14:00,19:00,19.0,0.0,Winthrop,Cobbosseecontee Lake,300.0,2021-06-05,6,2021
Augusta West Kampground,06/05/2021,Sat,4769,1,08:00,18:00,9.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-06-05,6,2021
Old Kents Hill Road,06/05/2021,Sat,5222,1,07:00,13:00,5.0,0.0,Readfield,Torsey Lake,360.0,2021-06-05,6,2021
Rt 41 North Basin Maranacook,06/06/2021,Sun,5305,1,07:00,13:00,45.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-06,6,2021
Whippoorwill Road,06/06/2021,Sun,5304,1,13:00,19:00,9.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-06,6,2021
Augusta West Kampground,06/06/2021,Sun,4769,1,08:00,18:00,8.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-06-06,6,2021
Beach Road,06/06/2021,Sun,4174,1,13:00,19:00,49.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-06-06,6,2021
Norcross Point South Basin Maranacook,06/06/2021,Sun,3796,1,07:00,17:00,51.0,0.0,Winthrop,Maranacook Lake,600.0,2021-06-06,6,2021
Beach Road,06/06/2021,Sun,5306,1,07:30,13:00,18.0,0.0,Monmouth,Cochnewagon Pond,330.0,2021-06-06,6,2021
Thorofare Rd,06/06/2021,Sun,4944,1,07:00,15:00,74.0,0.0,Litchfield,Pleasant Pond,480.0,2021-06-06,6,2021
Old Kents Hill Road,06/06/2021,Sun,5006,1,07:00,13:00,9.0,0.0,Readfield,Torsey Lake,360.0,2021-06-06,6,2021
Whippoorwill Road,06/06/2021,Sun,5105,1,07:00,13:00,63.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-06,6,2021
East Winthrop,06/06/2021,Sun,4715,1,13:00,19:00,23.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-06,6,2021
Rt 41 North Basin Maranacook,06/06/2021,Sun,4743,1,13:00,19:00,40.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-06,6,2021
Launch Drive,06/06/2021,Sun,4771,1,13:00,19:00,78.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-06,6,2021
Wilson Pond Road,06/06/2021,Sun,4770,1,07:00,17:00,23.0,0.0,Monmouth,Wilson Pond,600.0,2021-06-06,6,2021
Old Kents Hill Road,06/06/2021,Sun,5222,1,13:00,19:00,3.0,0.0,Readfield,Torsey Lake,360.0,2021-06-06,6,2021
East Winthrop,06/06/2021,Sun,5322,1,07:00,13:00,20.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-06,6,2021
Launch Drive,06/06/2021,Sun,4485,1,07:00,14:00,65.0,0.0,Launch Drive,Cobbosseecontee Lake,420.0,2021-06-06,6,2021
Launch Drive,06/11/2021,Fri,3796,1,12:00,18:00,17.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-11,6,2021
Whippoorwill Road,06/11/2021,Fri,4174,1,12:00,18:00,6.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-11,6,2021
Thorofare Rd,06/11/2021,Fri,5105,1,12:00,18:00,16.0,0.0,Litchfield,Pleasant Pond,360.0,2021-06-11,6,2021
Augusta West Kampground,06/11/2021,Fri,4769,1,12:00,18:00,3.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-06-11,6,2021
East Winthrop,06/11/2021,Fri,4485,1,12:00,18:00,0.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-11,6,2021
Wilson Pond Road,06/12/2021,Sat,4770,1,07:00,13:00,6.0,0.0,Monmouth,Wilson Pond,360.0,2021-06-12,6,2021
Rt 41 North Basin Maranacook,06/12/2021,Sat,4743,1,07:00,13:00,14.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-12,6,2021
Rt 41 North Basin Maranacook,06/12/2021,Sat,5354,1,13:00,19:30,31.0,0.0,Readfield,Maranacook Lake,390.0,2021-06-12,6,2021
Augusta West Kampground,06/12/2021,Sat,4769,1,08:00,18:00,16.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-06-12,6,2021
Old Kents Hill Road,06/12/2021,Sat,5006,1,07:00,13:00,5.0,0.0,Readfield,Torsey Lake,360.0,2021-06-12,6,2021
Thorofare Rd,06/12/2021,Sat,4944,1,07:00,17:00,47.0,0.0,Litchfield,Pleasant Pond,600.0,2021-06-12,6,2021
Whippoorwill Road,06/12/2021,Sat,4771,1,07:00,13:00,13.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-12,6,2021
Old Kents Hill Road,06/12/2021,Sat,5222,1,13:00,19:00,7.0,0.0,Readfield,Torsey Lake,360.0,2021-06-12,6,2021
East Winthrop,06/12/2021,Sat,5322,1,07:00,13:00,11.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-12,6,2021
Launch Drive,06/12/2021,Sat,5105,1,07:00,17:00,72.0,0.0,Launch Drive,Cobbosseecontee Lake,600.0,2021-06-12,6,2021
East Winthrop,06/12/2021,Sat,4715,1,13:00,19:00,10.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-12,6,2021
Whippoorwill Road,06/12/2021,Sat,5304,1,13:00,19:00,12.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-12,6,2021
Wilson Pond Road,06/12/2021,Sat,3504,1,13:00,19:00,15.0,0.0,Monmouth,Wilson Pond,360.0,2021-06-12,6,2021
Beach Road,06/12/2021,Sat,4174,1,07:00,17:15,28.0,0.0,Monmouth,Cochnewagon Pond,615.0,2021-06-12,6,2021
Norcross Point South Basin Maranacook,06/12/2021,Sat,3796,1,07:00,17:00,35.0,0.0,Winthrop,Maranacook Lake,600.0,2021-06-12,6,2021
East Winthrop,06/13/2021,Sun,5322,1,07:00,13:00,19.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-13,6,2021
Beach Road,06/13/2021,Sun,5306,1,07:30,13:00,22.0,0.0,Monmouth,Cochnewagon Pond,330.0,2021-06-13,6,2021
Old Kents Hill Road,06/13/2021,Sun,5006,1,07:00,13:00,11.0,0.0,Readfield,Torsey Lake,360.0,2021-06-13,6,2021
Old Kents Hill Road,06/13/2021,Sun,5353,1,13:00,19:00,9.0,0.0,Readfield,Torsey Lake,360.0,2021-06-13,6,2021
Wilson Pond Road,06/13/2021,Sun,3504,1,13:00,19:00,17.0,0.0,Monmouth,Wilson Pond,360.0,2021-06-13,6,2021
Launch Drive,06/13/2021,Sun,4485,1,07:00,13:00,61.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-13,6,2021
Thorofare Rd,06/13/2021,Sun,4944,1,07:00,17:00,66.0,0.0,Litchfield,Pleasant Pond,600.0,2021-06-13,6,2021
Rt 41 North Basin Maranacook,06/13/2021,Sun,4743,1,13:00,19:00,34.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-13,6,2021
Augusta West Kampground,06/13/2021,Sun,5354,1,08:00,14:15,11.0,0.0,Winthrop,Annabessacook Lake,375.0,2021-06-13,6,2021
Wilson Pond Road,06/13/2021,Sun,4770,1,07:00,13:00,9.0,0.0,Monmouth,Wilson Pond,360.0,2021-06-13,6,2021
East Winthrop,06/13/2021,Sun,4715,1,13:30,19:00,16.0,0.0,Winthrop,Cobbosseecontee Lake,330.0,2021-06-13,6,2021
Launch Drive,06/13/2021,Sun,5105,1,13:00,19:00,88.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-13,6,2021
Augusta West Kampground,06/13/2021,Sun,4769,1,14:00,20:00,4.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-06-13,6,2021
Rt 41 North Basin Maranacook,06/13/2021,Sun,5305,1,07:00,13:00,39.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-13,6,2021
Norcross Point South Basin Maranacook,06/13/2021,Sun,3796,1,07:00,17:00,54.0,0.0,Winthrop,Maranacook Lake,600.0,2021-06-13,6,2021
Whippoorwill Road,06/13/2021,Sun,5304,1,13:00,19:00,8.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-13,6,2021
Beach Road,06/13/2021,Sun,4174,1,13:00,19:00,30.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-06-13,6,2021
Whippoorwill Road,06/13/2021,Sun,4771,1,07:00,13:00,45.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-13,6,2021
Thorofare Rd,06/18/2021,Fri,5105,1,12:00,18:00,24.0,0.0,Litchfield,Pleasant Pond,360.0,2021-06-18,6,2021
East Winthrop,06/18/2021,Fri,4485,1,12:00,18:00,14.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-18,6,2021
Whippoorwill Road,06/18/2021,Fri,4771,1,12:00,18:00,34.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-18,6,2021
Launch Drive,06/18/2021,Fri,3796,1,12:00,18:20,45.0,0.0,Launch Drive,Cobbosseecontee Lake,380.0,2021-06-18,6,2021
Augusta West Kampground,06/18/2021,Fri,4769,1,12:00,18:00,1.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-06-18,6,2021
Wilson Pond Road,06/19/2021,Sat,4770,1,07:00,17:00,17.0,0.0,Monmouth,Wilson Pond,600.0,2021-06-19,6,2021
Beach Road,06/19/2021,Sat,4174,1,13:00,19:00,19.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-06-19,6,2021
Norcross Point South Basin Maranacook,06/19/2021,Sat,3796,1,07:00,17:00,21.0,0.0,Winthrop,Maranacook Lake,600.0,2021-06-19,6,2021
Beach Road,06/19/2021,Sat,5306,1,07:00,13:00,19.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-06-19,6,2021
Launch Drive,06/19/2021,Sat,5105,1,13:00,19:00,51.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-19,6,2021
Rt 41 North Basin Maranacook,06/19/2021,Sat,5305,1,07:00,13:00,6.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-19,6,2021
Old Kents Hill Road,06/19/2021,Sat,5006,1,07:00,13:00,5.0,0.0,Readfield,Torsey Lake,360.0,2021-06-19,6,2021
Whippoorwill Road,06/19/2021,Sat,5304,1,13:00,19:00,7.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-19,6,2021
Augusta West Kampground,06/19/2021,Sat,4743,1,08:00,14:00,3.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-06-19,6,2021
East Winthrop,06/19/2021,Sat,5322,1,07:00,13:00,6.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-19,6,2021
Rt 41 North Basin Maranacook,06/19/2021,Sat,5353,1,13:00,19:00,14.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-19,6,2021
Whippoorwill Road,06/19/2021,Sat,4771,1,07:00,13:00,23.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-19,6,2021
Launch Drive,06/19/2021,Sat,4485,1,07:00,13:00,22.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-19,6,2021
East Winthrop,06/19/2021,Sat,5354,1,13:00,19:20,15.0,0.0,Winthrop,Cobbosseecontee Lake,380.0,2021-06-19,6,2021
Thorofare Rd,06/19/2021,Sat,4944,1,07:00,17:00,51.0,0.0,Litchfield,Pleasant Pond,600.0,2021-06-19,6,2021
Augusta West Kampground,06/19/2021,Sat,4769,1,14:00,20:00,0.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-06-19,6,2021
Old Kents Hill Road,06/19/2021,Sat,5222,1,13:00,19:00,3.0,0.0,Readfield,Torsey Lake,360.0,2021-06-19,6,2021
Rt 41 North Basin Maranacook,06/20/2021,Sun,5305,1,07:00,13:00,38.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-20,6,2021
Whippoorwill Road,06/20/2021,Sun,5304,1,13:00,19:00,7.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-20,6,2021
East Winthrop,06/20/2021,Sun,5354,1,13:00,19:20,26.0,0.0,Winthrop,Cobbosseecontee Lake,380.0,2021-06-20,6,2021
Norcross Point South Basin Maranacook,06/20/2021,Sun,3796,1,07:00,17:00,51.0,0.0,Winthrop,Maranacook Lake,600.0,2021-06-20,6,2021
Beach Road,06/20/2021,Sun,5306,1,07:00,13:00,30.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-06-20,6,2021
Old Kents Hill Road,06/20/2021,Sun,5006,1,13:00,19:00,11.0,0.0,Readfield,Torsey Lake,360.0,2021-06-20,6,2021
Beach Road,06/20/2021,Sun,4174,1,13:00,19:00,48.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-06-20,6,2021
Augusta West Kampground,06/20/2021,Sun,4743,1,08:00,14:00,1.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-06-20,6,2021
Rt 41 North Basin Maranacook,06/20/2021,Sun,5353,1,13:00,19:00,43.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-20,6,2021
Launch Drive,06/20/2021,Sun,5105,1,13:00,19:00,75.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-20,6,2021
Wilson Pond Road,06/20/2021,Sun,4770,1,07:00,17:00,19.0,0.0,Monmouth,Wilson Pond,600.0,2021-06-20,6,2021
Launch Drive,06/20/2021,Sun,4485,1,07:00,13:00,72.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-20,6,2021
Thorofare Rd,06/20/2021,Sun,4944,1,07:00,17:00,93.0,0.0,Litchfield,Pleasant Pond,600.0,2021-06-20,6,2021
Old Kents Hill Road,06/20/2021,Sun,5222,1,07:00,13:00,10.0,0.0,Readfield,Torsey Lake,360.0,2021-06-20,6,2021
Whippoorwill Road,06/20/2021,Sun,4771,1,07:00,13:00,50.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-20,6,2021
East Winthrop,06/20/2021,Sun,5322,1,07:10,13:00,23.0,0.0,Winthrop,Cobbosseecontee Lake,350.0,2021-06-20,6,2021
Augusta West Kampground,06/20/2021,Sun,4769,1,14:00,20:00,4.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-06-20,6,2021
Whippoorwill Road,06/25/2021,Fri,4771,1,12:00,18:00,9.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-25,6,2021
